3.86	1.48	0.42	5.62	1.22
3.88	1.42	0.42	5.66	1.23
3.90	1.38	0.43	5.69	1.25
3.91	1.50	0.43	5.73	1.28
3.82	1.40	0.43	5.80	1.30
3.86	1.51	0.44	5.84	1.32
3.88	1.44	0.44	5.87	1.33
3.90	1.40	0.44	5.91	1.35
3.91	1.35	0.45	5.98	1.38
3.92	1.48	0.45	6.01	1.40
3.78	1.42	0.45	6.05	1.42
3.83	1.39	0.46	6.08	1.44
3.86	1.51	0.46	6.12	1.47
3.90	1.40	0.47	6.19	1.49
3.76	1.51	0.47	6.23	1.51
3.82	1.44	0.47	6.27	1.53
3.85	1.40	0.47	6.30	1.55
3.88	1.37	0.48	6.37	1.58
3.91	1.43	0.48	6.41	1.60
3.91	1.39	0.48	6.44	1.62
3.77	1.51	0.49	6.47	1.64
3.82	1.44	0.49	6.51	1.68
3.88	1.37	0.50	6.58	1.69
3.90	1.49	0.50	6.61	1.71
3.91	1.43	0.50	6.65	1.73
3.91	1.39	0.50	6.68	1.75
3.77	1.36	0.51	6.75	1.79
3.86	1.43	0.51	6.79	1.81
3.88	1.39	0.52	6.82	1.83
3.90	1.51	0.52	6.86	1.85
3.76	1.44	0.52	6.89	1.89
3.85	1.51	0.53	6.96	1.91
3.88	1.45	0.53	6.99	1.93
3.89	1.40	0.53	7.03	1.95
3.91	1.37	0.54	7.06	1.97
3.77	1.49	0.54	7.13	2.01
3.86	1.39	0.54	7.17	2.03
3.88	1.51	0.55	7.20	2.05
3.90	1.44	0.55	7.23	2.07
3.91	1.40	0.55	7.27	2.09
3.92	1.45	0.56	7.34	2.13
3.78	1.40	0.56	7.37	2.15
3.83	1.52	0.56	7.40	2.17
3.86	1.45	0.57	7.43	2.20
3.88	1.40	0.57	7.50	2.24
3.81	1.35	0.57	7.53	2.26
3.85	1.48	0.58	7.57	2.28
3.88	1.42	0.58	7.60	2.31
3.89	1.53	0.58	7.63	2.33
3.91	1.41	0.59	7.70	2.37
3.77	1.52	0.59	7.73	2.39
3.82	1.45	0.59	7.77	2.42
3.86	1.40	0.60	7.80	2.44
3.88	1.52	0.60	7.87	2.48
3.91	1.40	0.60	7.90	2.50
3.77	1.52	0.61	7.93	2.53
3.82	1.45	0.61	7.97	2.55
3.86	1.40	0.61	8.00	2.57
3.90	1.50	0.62	8.06	2.62
3.76	1.43	0.62	8.09	2.64
3.82	1.39	0.62	8.13	2.67
3.85	1.51	0.63	8.15	2.69
3.88	1.44	0.63	8.22	2.73
3.76	1.51	0.64	8.25	2.76
3.82	1.45	0.64	8.29	2.78
3.85	1.40	0.64	8.32	2.81
3.88	1.52	0.64	8.35	2.83
3.76	1.40	0.65	8.41	2.88
3.82	1.52	0.65	8.44	2.90
3.85	1.45	0.65	8.48	2.93
3.88	1.40	0.66	8.51	2.95
3.89	1.52	0.66	8.57	3.00
3.91	1.40	0.67	8.60	3.02
3.77	1.52	0.67	8.63	3.05
3.82	1.45	0.67	8.67	3.08
3.86	1.40	0.67	8.69	3.10
3.90	1.45	0.68	8.76	3.15
3.76	1.40	0.68	8.79	3.17
3.82	1.52	0.69	8.82	3.20
3.85	1.45	0.69	8.85	3.22
3.88	1.40	0.69	8.91	3.27
3.76	1.45	0.70	8.94	3.30
3.82	1.40	0.70	8.97	3.33
3.85	1.37	0.70	9.00	3.35
3.88	1.50	0.70	9.03	3.38
3.76	1.54	0.71	9.09	3.43
3.82	1.46	0.71	9.12	3.46
3.85	1.41	0.72	9.15	3.48
3.88	1.52	0.72	9.18	3.51
3.89	1.45	0.72	9.24	3.56
3.91	1.52	0.73	9.27	3.59
3.77	1.45	0.73	9.30	3.61
3.82	1.40	0.73	9.33	3.64
3.86	1.37	0.73	9.36	3.66
3.75	1.43	0.74	9.42	3.72
4.10	1.68	0.74	9.45	3.75
3.75	1.41	0.75	9.48	3.77
3.85	1.50	0.75	9.53	3.83
3.88	1.44	0.75	9.57	3.85
3.75	1.39	0.76	9.59	3.88
3.81	1.51	0.76	9.62	3.91
3.85	1.44	0.77	9.68	3.97
3.89	1.47	0.77	9.71	3.99
3.90	1.41	0.77	9.74	4.02
3.91	1.52	0.77	9.77	4.05
3.92	1.45	0.78	9.80	4.08
3.78	1.47	0.78	9.85	4.13
3.83	1.42	0.78	9.88	4.16
3.86	1.38	0.79	9.91	4.19
3.74	1.50	0.79	9.94	4.22
3.80	1.44	0.79	9.99	4.27
3.87	1.46	0.80	10.02	4.30
3.89	1.41	0.80	10.05	4.33
3.76	1.38	0.80	10.07	4.36
3.81	1.50	0.81	10.10	4.42
3.88	1.54	0.81	10.16	4.45
3.89	1.46	0.81	10.19	4.48
3.90	1.41	0.82	10.21	4.50
3.91	1.52	0.82	10.24	4.53
3.77	1.45	0.83	10.29	4.59
3.86	1.52	0.83	10.32	4.62
3.74	1.45	0.83	10.35	4.65
3.80	1.55	0.83	10.37	4.68
3.84	1.47	0.84	10.40	4.74
3.89	1.38	0.84	10.45	4.77
3.90	1.50	0.84	10.48	4.80
3.91	1.44	0.85	10.51	4.83
3.77	1.54	0.85	10.53	4.86
